object_level;object_name;okato;oktmo;gender;education_level;year;study_area;count_graduate;percent_employed;average_salary_fact_avg;average_salary_fact_med;average_salary_norm_avg;average_salary_norm_med;average_age;percent_combine_work_and_study
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2017;Математические и естественные науки;206;86.885;70120.484;57875.0;59939.511;50422.16;29.194;34.951
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2017;Науки об обществе;117867;79.22;61028.447;50750.0;54009.5;46145.46;29.288;36.352
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2017;Оборона и безопасность государства. Военные науки;1;0.0;;;;;29.0;
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2017;Образование и педагогические науки;24393;90.85;56536.855;50833.33;53023.7;50039.996;33.486;67.323
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2017;Сельское хозяйство и сельскохозяйственные науки;13126;84.597;68938.257;59408.335;65684.965;56750.0;31.482;54.091
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2017;Гуманитарные науки;3537;82.147;82412.983;68871.21;76942.705;67054.163;30.236;65.451
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2017;Здравоохранение и медицинские науки;6234;85.785;78870.562;68000.0;69850.469;64072.917;30.469;38.964
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2017;Инженерное дело, технологии и технические науки;114176;87.284;97157.747;86416.67;88906.716;80580.0;30.169;52.858
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2017;Искусство и культура;3320;86.111;75365.102;65219.7;67098.078;60034.583;29.958;46.265
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2017;Математические и естественные науки;86;85.333;91617.414;75625.0;76472.765;62648.958;28.849;32.558
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2017;Науки об обществе;30462;73.917;80413.346;68444.44;70968.368;60903.329;29.524;34.062
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2017;Образование и педагогические науки;1610;88.559;80538.855;70600.0;75254.96;66356.0;32.324;61.491
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2017;Сельское хозяйство и сельскохозяйственные науки;9312;84.988;77140.145;69166.67;73664.06;66240.0;31.835;57.249
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Гуманитарные науки;4772;84.521;58467.072;48500.0;51802.381;46800.0;29.568;46.71
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Здравоохранение и медицинские науки;40868;90.728;58693.313;51750.0;54014.393;50833.33;31.549;42.902
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Инженерное дело, технологии и технические науки;38555;86.953;58072.794;49833.33;53412.566;46920.0;30.359;49.599
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Искусство и культура;12216;86.071;57809.853;50000.0;52273.541;47871.872;30.194;44.843
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Математические и естественные науки;120;87.963;55789.196;45083.335;48917.341;42465.415;29.442;36.667
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Науки об обществе;87405;80.984;55492.204;47333.33;49165.502;43349.793;29.206;37.15
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Оборона и безопасность государства. Военные науки;1;0.0;;;;;29.0;
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Образование и педагогические науки;22783;91.001;55012.334;50083.33;51611.462;49450.0;33.568;67.735
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2017;Сельское хозяйство и сельскохозяйственные науки;3814;83.669;47158.008;41666.67;44485.759;39522.428;30.619;46.382
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2018;Гуманитарные науки;11381;79.835;69002.779;57261.365;62021.044;53193.753;28.835;56.225
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2018;Здравоохранение и медицинские науки;59698;88.165;60909.697;53916.67;55737.264;52500.0;30.48;43.089
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2018;Инженерное дело, технологии и технические науки;198439;82.512;84730.582;74666.67;77664.985;69250.0;29.115;51.931
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2018;Искусство и культура;18856;80.983;61607.111;52833.33;55109.012;50000.0;29.011;42.814
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2018;Математические и естественные науки;164;80.952;82322.213;64545.45;66849.704;57035.0;28.75;46.951
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2018;Науки об обществе;136773;76.761;60232.813;50750.0;53217.612;46077.276;28.537;38.024
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2018;Образование и педагогические науки;32755;88.247;54947.144;49750.0;51896.326;49047.498;32.085;65.59
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2018;Сельское хозяйство и сельскохозяйственные науки;18572;79.146;68637.318;59750.0;65878.39;57879.165;30.413;52.821
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2018;Гуманитарные науки;5285;76.697;81268.186;69500.0;75076.412;65970.837;28.958;62.573
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2018;Здравоохранение и медицинские науки;8085;82.552;77413.369;69583.33;68498.096;64050.003;29.682;40.767
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2018;Инженерное дело, технологии и технические науки;150007;82.453;93506.682;84200.0;85711.764;78210.004;29.083;52.698
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2018;Искусство и культура;4022;82.172;75863.948;65444.44;67684.348;60768.337;28.846;45.002
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2018;Математические и естественные науки;63;87.037;104497.868;94166.67;86353.199;71482.5;28.111;39.683
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2018;Науки об обществе;39013;71.432;77648.219;67000.0;68428.081;58900.002;28.806;35.698
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2018;Образование и педагогические науки;1968;85.084;78406.937;70333.33;72820.502;66677.774;30.258;56.86
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2018;Сельское хозяйство и сельскохозяйственные науки;13340;79.186;76300.784;69000.0;73573.336;67062.504;30.568;54.97
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2018;Гуманитарные науки;6096;82.466;59881.298;49181.82;52319.348;46179.094;28.728;50.722
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2018;Здравоохранение и медицинские науки;51613;88.947;58674.146;52250.0;54009.017;51351.11;30.605;43.452
